artist,artist_id
Andrés Cepeda,49Z1AvGeUaBSanPaOmplK6
Thalía,23wEWD21D4TPYiJugoXmYb
Kalimba,4RjamFQJNT8nVbTKXJDJgv
Morat,5C4PDR4LnhZTbVnKWXuDKD
Raquel Sofia,0J9JLJmiTXJFvvyHS3Qzn4
David Bisbal,5gOJTI4TusSENizxhcG7jB
Paulino Monroy,2a15NvJ0ASGPEuWgGCCIJC
Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6
Manuel Mijares,6ZEPPQlmrtnZAdhfTEM6NY
Jary Franco,01agtJ7Ob6B8N8jC8QvAJ6
Matisse,77aLk6J8ofnVxa1eXK9jiU
Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9
Cristian Castro,2AZOALDIBORfbzKTuliwdJ
Alex Ubago,2tY2GFdhH0Wa2VBvsxew5X
Chayanne,1JbemQ1fPt2YmSLjAFhPBv
Manu Negrete,5CEPxspt5POCY0oeaCdOEO
Camila,2gRP1Ezbtj3qrERnd0XasU
Pepe Aguilar,03Yb3iBy9GCifXiATEFcit
Ricardo Montaner,4uoz4FUMvpeyGClFTTDBsD
Franco De Vita,4NEYQeEYBUjfaXgDQGvFvu
Kany Garcia,69UypehHabb68utzfjAVlV
Sin Bandera,7xeM7V59cA1X8GKyKKQV87
Juan Gabriel,2MRBDr0crHWE5JwPceFncq
Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50
Onda Vaselina,1T9LdtwSTDoXrbkvHtKpGw
Aleks Syntek,0r8toju2ecKaVtItkzAnNi
Nabález,64J3ISAKbfg1CuP4CVCMlF
Benny,3YHFRVdfHlJ98iAc50PIYk
Tommy Torres,264nbMzGPSkDZqTY8nXwCG
Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S
Gloria Trevi,1Db5GsIoVWYktPoD2nnPZZ
Carolina Ross,5wx70QuZtxRUIIYek3RSaV
Johan Sotelo,4EgDDojMyrVB4MxP7nAevd
Alexandre Pires,0Rrl4hJQjRAbGtiEwAqS5N
Manuel Medrano,0i5iO6icb7kxg48thi9gBM
Laura Pausini,2e4nwiX8ZCU09LGLOpeqTH
Iskander,6qEHX4yRVZ5WP069VAaC2p
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP
Fey,3uC20p2EoNm5LYtzSVWdkL
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz
Vicentico,25THA9HUHoxpCT4LBp7UsZ
Mustard,0YinUQ50QDB7ZxSCLyQ40k
DJ Snake,540vIaP2JwjQb9dm3aArA4
Will Sparks,1u7OVFmWah4wQhOPIbUb8U
